표준코드,ticker,한글 종목명,name,영문 종목명,start_date,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,산업분류
KR7053700001,053700,삼보모터스,삼보모터스,"SAMBO MOTORS CO., LTD.",2001/11/06,KOSDAQ,주권,중견기업부,보통주,500,"19,332,003",운송장비·부품
KR7009620006,009620,삼보산업,삼보산업,"SAMBO Industrial Co., Ltd.",1993/12/07,KOSDAQ,주권,중견기업부,보통주,100,"45,255,561",금속
KR7023600000,023600,삼보판지,삼보판지,"SAMBO CORRUGATED BOARD CO., LTD.",1996/05/29,KOSDAQ,주권,우량기업부,보통주,500,"16,170,000",종이·목재
KR7001470004,001470,삼부토건보통주,삼부토건,SambuEngineering&Construction,1976/06/26,KOSPI,주권,,보통주,"1,000","197,673,375",건설업
KR7006401004,006405,삼성SDI1우선주,삼성SDI우,SAMSUNG SDI(1P),1989/11/24,KOSPI,주권,,구형우선주,"5,000","1,617,896",전기전자
KR7006400006,006400,삼성SDI보통주,삼성SDI,"SAMSUNG SDI CO.,LTD.",1979/02/27,KOSPI,주권,,보통주,"5,000","68,764,530",전기전자
KR7006660005,006660,삼성공조보통주,삼성공조,"SamsungClimateControlCo.,Ltd",1987/11/28,KOSPI,주권,,보통주,500,"8,126,314",운수장비
KR7377630009,377630,삼성기업인수목적4호,삼성스팩4호,SAMSUNG SPECIAL PURPOSE ACQUISITION 4 COMPANY,2021/05/21,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,020,000",금융
KR7425290004,425290,삼성기업인수목적6호,삼성스팩6호,SAMSUNG SPECIAL PURPOSE ACQUISITION 6 COMPANY,2022/06/30,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"5,520,000",금융
KR7439250002,439250,삼성기업인수목적7호,삼성스팩7호,SAMSUNG SPECIAL PURPOSE ACQUISITION 7 COMPANY,2022/10/26,KOSDAQ,주권,SPAC(소속부없음),보통주,500,"3,502,000",금융
KR7380320002,380320,삼성머스트기업인수목적5호,삼성머스트스팩5호,SAMSUNG MUST SPECIAL PURPOSE ACQUISITION 5 COMPANY,2021/06/17,KOSDAQ,주권,SPAC(소속부없음),보통주,100,"4,810,000",금융
KR702826K016,02826K,삼성물산1우선주(신형),삼성물산우B,SAMSUNG C&T CORPORATION(1PB),2015/09/15,KOSPI,주권,,종류주권,100,"1,627,425",유통업
KR7028260008,028260,삼성물산보통주,삼성물산,SAMSUNG C&T CORPORATION,2014/12/18,KOSPI,주권,,보통주,100,"186,887,081",유통업
KR7207940008,207940,삼성바이오로직스보통주,삼성바이오로직스,SAMSUNG BIOLOGICS,2016/11/10,KOSPI,주권,,보통주,"2,500","71,174,000",의약품
